Q3: Sorting and Merging Subsequences
Distribution       : Uniform
Total Elements     : 10^9 = 1000000000
Subsequences       : 1000
112        112000000       112999998       112499502.53   
113        113000000       113999998       113500005.31   
114        114000000       114999999       114499566.39   
115        115000000       115999994       115499666.59   
116        116000000       116999998       116500172.67   
117        117000003       117999998       117500055.65   
118        118000000       118999999       118500017.30   
119        119000000       119999999       119499884.87   
120        120000000       120999998       120500050.97   
121        121000003       121999998       121499916.45   
122        122000002       122999996       122499513.38   
123        123000002       123999999       123500116.14   
124        124000000       124999997       124499910.47   
125        125000004       125999998       125499787.61   
126        126000000       126999999       126500264.64   
127        127000001       127999999       127499908.64   
128        128000000       128999997       128499946.93   
129        129000002       129999998       129500610.88   
130        130000000       130999999       130499904.25   
131        131000000       131999997       131500391.21   
132        132000000       132999999       132500056.13   
133        133000002       133999998       133500212.19   
134        134000000       134999994       134500217.39   
135        135000002       135999999       135500416.38   
136        136000000       136999999       136500075.57   
137        137000000       137999999       137500011.77   
138        138000001       138999998       138499919.83   
139        139000000       139999999       139499865.82   
140        140000000       140999999       140500360.04   
141        141000000       141999999       141500076.10   
142        142000000       142999999       142499568.21   
143        143000000       143999999       143499417.19   
144        144000000       144999998       144499552.39   
145        145000000       145999999       145499608.87   
146        146000000       146999999       146499447.68   
147        147000000       147999998       147500152.54   
148        148000000       148999999       148499960.66   
149        149000002       149999999       149500275.97   
150        150000000       150999998       150499684.93   
151        151000001       151999998       151499923.07   
152        152000003       152999999       152500417.19   
153        153000000       153999998       153499953.15   
154        154000000       154999999       154499639.61   
155        155000001       155999998       155499947.46   
156        156000000       156999997       156499640.75   
157        157000000       157999999       157500586.07   
158        158000002       158999998       158500063.94   
159        159000001       159999997       159499456.81   
160        160000001       160999996       160499985.08   
161        161000000       161999999       161500366.15   
162        162000000       162999999       162500185.05   
163        163000000       163999999       163500252.41   
164        164000002       164999999       164500283.45   
165        165000000       165999998       165500264.47   
166        166000000       166999998       166499644.55   
167        167000001       167999998       167499562.67   
168        168000000       168999999       168499703.91   
169        169000001       169999999       169499522.71   
170        170000000       170999999       170499597.17   
171        171000004       171999998       171500111.06   
172        172000000       172999997       172499761.37   
173        173000000       173999998       173500085.20   
174        174000000       174999999       174499979.29   
175        175000000       175999999       175499830.73   
176        176000000       176999998       176499532.64   
177        177000002       177999999       177500288.63   
178        178000001       178999999       178500200.60   
179        179000000       179999998       179500190.89   
180        180000003       180999998       180499968.00   
181        181000001       181999998       181499884.14   
182        182000001       182999998       182500236.21   
183        183000000       183999999       183500549.17   
184        184000000       184999998       184500497.29   
185        185000000       185999998       185499979.49   
186        186000000       186999999       186499386.34   
187        187000000       187999999       187500073.55   
188        188000000       188999999       188500392.68   
189        189000000       189999999       189499588.73   
190        190000002       190999999       190499878.82   
191        191000001       191999998       191499871.82   
192        192000001       192999998       192499959.15   
193        193000000       193999994       193499525.16   
194        194000000       194999999       194499684.04   
195        195000000       195999998       195500388.38   
196        196000000       196999999       196500303.68   
197        197000000       197999998       197499789.74   
198        198000000       198999999       198500318.62   
199        199000001       199999999       199500010.74   
200        200000000       200999999       200499564.74   
201        201000002       201999998       201500411.76   
202        202000000       202999998       202500080.91   
203        203000000       203999999       203499591.28   
204        204000001       204999998       204499474.14   
205        205000001       205999999       205499773.28   
206        206000001       206999996       206499469.61   
207        207000001       207999999       207499724.63   
208        208000001       208999999       208499943.73   
209        209000000       209999999       209499725.05   
210        210000000       210999999       210499573.09   
211        211000001       211999998       211499808.84   
212        212000000       212999998       212499933.13   
213        213000001       213999997       213500006.24   
214        214000000       214999996       214499449.50   
215        215000000       215999999       215500331.55   
216        216000000       216999999       216500291.28   
217        217000002       217999999       217500280.53   
218        218000002       218999999       218499888.54   
219        219000000       219999999       219500367.68   
220        220000001       220999998       220499674.86   
221        221000001       221999999       221499522.88   
222        222000000       222999999       222500269.04   
223        223000000       223999998       223499734.24   
224        224000000       224999998       224499836.34   
225        225000000       225999999       225500264.19   
226        226000002       226999998       226500263.51   
227        227000000       227999999       227500111.25   
228        228000000       228999999       228499911.70   
229        229000002       229999999       229500021.89   
230        230000000       230999999       230499314.85   
231        231000000       231999999       231499477.75   
232        232000000       232999997       232500357.99   
233        233000000       233999998       233499897.91   
234        234000002       234999999       234500154.17   
235        235000000       235999997       235499707.18   
236        236000000       236999998       236500156.43   
237        237000000       237999996       237500536.37   
238        238000000       238999998       238500049.76   
239        239000000       239999999       239500415.68   
240        240000001       240999999       240499609.65   
241        241000000       241999998       241499728.94   
242        242000000       242999998       242500083.86   
243        243000000       243999999       243499658.36   
244        244000001       244999998       244499587.38   
245        245000000       245999997       245500264.24   
246        246000002       246999999       246499874.54   
247        247000001       247999999       247500124.51   
248        248000000       248999998       248499918.59   
249        249000000       249999996       249499870.88   
250        250000000       250999998       250499599.62   
251        251000002       251999999       251499999.95   
252        252000000       252999999       252499649.90   
253        253000000       253999999       253500373.10   
254        254000001       254999998       254500132.86   
255        255000000       255999999       255500244.33   
256        256000000       256999999       256500161.51   
257        257000002       257999999       257499867.37   
258        258000000       258999997       258500214.54   
259        259000000       259999998       259499778.67   
260        260000000       260999999       260499882.68   
261        261000001       261999996       261499928.86   
262        262000001       262999999       262499453.89   
263        263000000       263999998       263499568.05   
264        264000000       264999999       264500291.53   
265        265000001       265999999       265500046.08   
266        266000000       266999999       266499897.24   
267        267000000       267999998       267499617.59   
268        268000000       268999996       268499819.60   
269        269000002       269999999       269500042.46   
270        270000002       270999999       270500314.66   
271        271000000       271999997       271499754.93   
272        272000000       272999996       272499805.19   
273        273000000       273999999       273500401.19   
274        274000001       274999998       274500280.15   
275        275000000       275999999       275499853.06   
276        276000000       276999998       276499961.39   
277        277000000       277999999       277499628.31   
278        278000001       278999999       278500169.53   
279        279000003       279999999       279500118.71   
280        280000002       280999999       280500055.91   
281        281000000       281999999       281500290.93   
282        282000000       282999999       282500540.91   
283        283000000       283999999       283500323.13   
284        284000000       284999998       284499878.96   
285        285000000       285999999       285500267.18   
286        286000001       286999999       286499968.06   
287        287000000       287999996       287500495.28   
288        288000000       288999999       288500223.35   
289        289000002       289999999       289499878.56   
290        290000001       290999999       290499990.62   
291        291000000       291999998       291500154.81   
292        292000001       292999998       292500649.79   
293        293000000       293999999       293500595.34   
294        294000000       294999996       294499836.34   
295        295000002       295999999       295499874.17   
296        296000001       296999998       296499985.45   
297        297000001       297999999       297499972.49   
298        298000002       298999996       298499680.37   
299        299000000       299999998       299499899.51   
300        300000000       300999999       300500024.86   
301        301000000       301999999       301499612.05   
302        302000000       302999999       302500306.75   
303        303000000       303999998       303500194.99   
304        304000000       304999999       304500209.89   
305        305000000       305999998       305499863.08   
306        306000000       306999998       306499665.33   
307        307000001       307999999       307500174.42   
308        308000002       308999999       308500190.69   
309        309000002       309999999       309500178.38   
310        310000002       310999999       310501020.56   
311        311000000       311999999       311499796.55   
312        312000001       312999999       312499863.82   
313        313000003       313999999       313500042.11   
314        314000000       314999999       314500043.87   
315        315000001       315999999       315499898.89   
316        316000000       316999999       316499905.49   
317        317000000       317999998       317499811.34   
318        318000000       318999997       318499594.39   
319        319000002       319999999       319499937.51   
320        320000000       320999997       320500385.60   
321        321000000       321999999       321500009.64   
322        322000000       322999999       322500199.87   
323        323000002       323999999       323499869.95   
324        324000002       324999996       324499464.14   
325        325000000       325999998       325499890.14   
326        326000000       326999999       326500045.47   
327        327000000       327999999       327499888.26   
328        328000001       328999999       328499629.39   
329        329000000       329999999       329500090.26   
330        330000000       330999998       330500038.57   
331        331000000       331999999       331500045.04   
332        332000001       332999999       332500131.81   
333        333000000       333999999       333500042.94   
334        334000000       334999999       334500186.92   
335        335000000       335999998       335499835.01   
336        336000000       336999999       336499714.31   
337        337000001       337999997       337499938.21   
338        338000004       338999999       338499657.23   
339        339000000       339999999       339500060.45   
340        340000001       340999998       340499809.49   
341        341000000       341999996       341499904.68   
342        342000001       342999999       342499788.82   
343        343000000       343999999       343500167.88   
344        344000000       344999999       344500297.61   
345        345000000       345999999       345500173.17   
346        346000001       346999999       346500462.92   
347        347000000       347999998       347499990.13   
348        348000000       348999999       348500014.38   
349        349000000       349999999       349499920.43   
350        350000000       350999999       350499887.35   
351        351000000       351999999       351499936.54   
352        352000001       352999998       352499865.67   
353        353000000       353999999       353500334.97   
354        354000000       354999998       354500058.03   
355        355000000       355999999       355499487.36   
356        356000000       356999999       356500212.13   
357        357000000       357999999       357500093.14   
358        358000001       358999996       358499603.43   
359        359000000       359999999       359499870.16   
360        360000002       360999998       360500181.68   
361        361000001       361999994       361499858.63   
362        362000000       362999999       362499705.64   
363        363000000       363999998       363500226.70   
364        364000000       364999997       364500132.92   
365        365000000       365999997       365500208.05   
366        366000000       366999999       366499927.18   
367        367000001       367999996       367499825.25   
368        368000000       368999999       368500401.32   
369        369000000       369999999       369499432.32   
370        370000000       370999999       370499960.41   
371        371000000       371999999       371499876.63   
372        372000000       372999999       372500604.68   
373        373000002       373999999       373499799.92   
374        374000003       374999999       374500260.93   
375        375000000       375999999       375500355.81   
376        376000001       376999998       376499561.20   
377        377000003       377999999       377500312.38   
378        378000000       378999999       378500087.30   
379        379000000       379999998       379500083.35   
380        380000000       380999997       380500474.60   
381        381000000       381999999       381500155.51   
382        382000000       382999998       382500229.60   
383        383000000       383999998       383500202.63   
384        384000000       384999996       384499999.00   
385        385000000       385999999       385499869.86   
386        386000003       386999999       386500137.05   
387        387000000       387999998       387499896.19   
388        388000000       388999999       388499939.21   
389        389000001       389999999       389500031.41   
390        390000002       390999998       390499874.59   
391        391000000       391999999       391500805.47   
392        392000001       392999997       392500576.56   
393        393000000       393999999       393500533.87   
394        394000000       394999999       394499824.17   
395        395000000       395999997       395499543.82   
396        396000000       396999998       396500231.99   
397        397000001       397999999       397499639.05   
398        398000000       398999999       398500310.40   
399        399000000       399999998       399499922.14   
400        400000000       400999999       400500232.48   
401        401000000       401999999       401500045.41   
402        402000000       402999997       402499509.59   
403        403000001       403999999       403500264.80   
404        404000000       404999996       404499462.01   
405        405000001       405999999       405500079.94   
406        406000000       406999999       406499747.21   
407        407000000       407999999       407500271.21   
408        408000000       408999998       408500263.09   
409        409000002       409999999       409499811.46   
410        410000001       410999998       410499880.39   
411        411000001       411999998       411500517.47   
412        412000001       412999994       412499852.60   
413        413000001       413999999       413500099.72   
414        414000000       414999998       414499528.98   
415        415000000       415999999       415499643.68   
416        416000000       416999999       416499576.91   
417        417000002       417999997       417499748.15   
418        418000000       418999998       418500102.40   
419        419000000       419999999       419499514.15   
420        420000001       420999999       420500027.50   
421        421000000       421999998       421500047.36   
422        422000001       422999995       422499883.70   
423        423000001       423999998       423499952.68   
424        424000000       424999997       424500208.86   
425        425000001       425999997       425500328.77   
426        426000000       426999999       426500196.91   
427        427000000       427999998       427499997.12   
428        428000001       428999998       428499992.21   
429        429000000       429999999       429500413.20   
430        430000001       430999998       430500232.46   
431        431000004       431999999       431499517.35   
432        432000002       432999998       432499948.65   
433        433000000       433999997       433500166.63   
434        434000000       434999999       434500036.69   
435        435000000       435999999       435499945.78   
436        436000001       436999999       436500266.03   
437        437000000       437999999       437500005.01   
438        438000000       438999998       438499565.17   
439        439000002       439999999       439500093.39   
440        440000000       440999999       440500154.26   
441        441000001       441999999       441500341.50   
442        442000002       442999999       442500165.57   
443        443000002       443999998       443499587.74   
444        444000000       444999999       444500039.43   
445        445000000       445999999       445500037.73   
446        446000000       446999999       446499860.73   
447        447000000       447999999       447500197.70   
448        448000000       448999999       448500120.11   
449        449000000       449999998       449500103.12   
450        450000003       450999998       450499994.31   
451        451000001       451999999       451499408.38   
452        452000000       452999999       452499496.79   
453        453000000       453999999       453500377.60   
454        454000000       454999999       454500291.62   
455        455000000       455999999       455499803.07   
456        456000000       456999999       456499445.71   
457        457000000       457999999       457499822.40   
458        458000000       458999999       458500064.99   
459        459000000       459999998       459499641.13   
460        460000003       460999999       460499984.53   
461        461000000       461999999       461500274.51   
462        462000000       462999999       462500121.38   
463        463000000       463999999       463500182.89   
464        464000000       464999998       464499661.61   
465        465000000       465999997       465500286.89   
466        466000000       466999998       466499926.94   
467        467000000       467999998       467499774.01   
468        468000003       468999998       468499939.29   
469        469000000       469999999       469500117.05   
470        470000000       470999999       470500226.42   
471        471000000       471999999       471499437.14   
472        472000001       472999999       472499808.69   
473        473000003       473999998       473499672.65   
474        474000000       474999998       474500184.66   
475        475000001       475999998       475499783.00   
476        476000002       476999996       476499508.98   
477        477000000       477999996       477499798.69   
478        478000004       478999999       478499575.94   
479        479000001       479999998       479499935.20   
480        480000001       480999999       480500554.21   
481        481000000       481999999       481499988.17   
482        482000000       482999999       482500125.52   
483        483000000       483999999       483500278.58   
484        484000000       484999999       484500037.63   
485        485000000       485999998       485499789.78   
486        486000001       486999998       486499542.05   
487        487000002       487999999       487499633.79   
488        488000000       488999997       488500325.23   
489        489000000       489999998       489499939.20   
490        490000000       490999999       490499806.50   
491        491000000       491999999       491500011.52   
492        492000000       492999999       492500212.61   
493        493000002       493999996       493499661.49   
494        494000008       494999999       494500369.51   
495        495000003       495999999       495500031.79   
496        496000000       496999998       496499483.80   
497        497000000       497999999       497499595.91   
498        498000001       498999999       498500458.04   
499        499000000       499999999       499499687.10   
500        500000004       500999998       500499931.34   
501        501000000       501999998       501499537.30   
502        502000000       502999999       502499917.59   
503        503000001       503999997       503500000.67   
504        504000001       504999998       504499431.49   
505        505000000       505999998       505500329.57   
506        506000000       506999999       506500079.77   
507        507000000       507999995       507499345.81   
508        508000000       508999997       508499892.91   
509        509000001       509999999       509499591.85   
510        510000000       510999996       510500379.16   
511        511000000       511999999       511499361.18   
512        512000000       512999998       512499977.19   
513        513000003       513999999       513499983.57   
514        514000000       514999999       514500092.40   
515        515000001       515999999       515499941.59   
516        516000000       516999997       516500144.81   
517        517000002       517999998       517499773.08   
518        518000001       518999998       518499873.01   
519        519000000       519999998       519500170.02   
520        520000009       520999999       520500239.19   
521        521000003       521999998       521499946.46   
522        522000001       522999999       522500529.36   
523        523000001       523999998       523499887.59   
524        524000000       524999999       524499912.21   
525        525000001       525999998       525500650.59   
526        526000000       526999999       526500348.46   
527        527000001       527999999       527500195.58   
528        528000000       528999999       528499959.89   
529        529000000       529999999       529499777.32   
530        530000000       530999999       530500219.01   
531        531000000       531999998       531500085.12   
532        532000001       532999999       532500209.37   
533        533000000       533999997       533500069.49   
534        534000000       534999999       534500280.37   
535        535000002       535999998       535500356.74   
536        536000001       536999998       536500273.83   
537        537000000       537999999       537499617.61   
538        538000000       538999999       538500382.80   
539        539000001       539999997       539500177.87   
540        540000001       540999999       540499930.12   
541        541000000       541999998       541499854.30   
542        542000003       542999999       542499738.42   
543        543000000       543999999       543500323.50   
544        544000001       544999999       544499841.51   
545        545000000       545999999       545500405.35   
546        546000002       546999999       546499653.52   
547        547000000       547999999       547500610.21   
548        548000001       548999999       548500277.99   
549        549000000       549999997       549499688.81   
550        550000000       550999999       550500195.94   
551        551000000       551999999       551499920.11   
552        552000000       552999997       552499513.03   
553        553000000       553999999       553499918.41   
554        554000003       554999999       554500017.65   
555        555000001       555999996       555500466.70   
556        556000001       556999998       556500155.63   
557        557000000       557999999       557500370.75   
558        558000001       558999999       558499934.56   
559        559000001       559999998       559499877.95   
560        560000001       560999999       560500421.10   
561        561000000       561999998       561499506.27   
562        562000002       562999999       562500069.37   
563        563000000       563999999       563500337.51   
564        564000004       564999998       564499874.62   
565        565000003       565999999       565500244.74   
566        566000003       566999998       566500014.56   
567        567000001       567999999       567499432.77   
568        568000001       568999998       568500399.59   
569        569000002       569999999       569500431.05   
570        570000003       570999999       570500311.03   
571        571000000       571999999       571500175.98   
572        572000000       572999999       572500272.15   
573        573000000       573999997       573500131.33   
574        574000000       574999999       574499368.26   
575        575000001       575999998       575499845.49   
576        576000000       576999999       576499716.68   
577        577000000       577999999       577499774.59   
578        578000000       578999999       578499993.71   
579        579000000       579999999       579500163.00   
580        580000003       580999999       580499721.08   
581        581000000       581999999       581500107.06   
582        582000002       582999998       582499915.36   
583        583000000       583999998       583500297.29   
584        584000001       584999997       584500269.31   
585        585000000       585999999       585500043.41   
586        586000000       586999999       586500070.52   
587        587000000       587999999       587499915.66   
588        588000000       588999999       588500499.70   
589        589000000       589999999       589500490.93   
590        590000000       590999999       590499779.21   
591        591000002       591999999       591500163.12   
592        592000001       592999998       592500280.94   
593        593000000       593999999       593499698.15   
594        594000000       594999999       594500287.34   
595        595000003       595999998       595500237.54   
596        596000000       596999999       596499686.67   
597        597000000       597999999       597499971.54   
598        598000000       598999999       598500108.05   
599        599000001       599999998       599499896.80   
600        600000000       600999998       600500005.04   
601        601000000       601999999       601500636.25   
602        602000001       602999999       602499793.15   
603        603000000       603999999       603499985.01   
604        604000001       604999999       604499806.32   
605        605000000       605999999       605499970.68   
606        606000000       606999998       606499942.59   
607        607000002       607999999       607500034.75   
608        608000000       608999999       608499528.86   
609        609000002       609999999       609500486.85   
610        610000001       610999998       610499828.10   
611        611000001       611999999       611499964.18   
612        612000000       612999998       612500002.10   
613        613000000       613999999       613500013.12   
614        614000000       614999998       614500065.29   
615        615000001       615999999       615499538.45   
616        616000000       616999999       616499874.38   
617        617000000       617999999       617499578.58   
618        618000000       618999997       618500085.97   
619        619000000       619999999       619500493.75   
620        620000001       620999998       620499890.87   
621        621000000       621999998       621500441.12   
622        622000000       622999997       622500133.12   
623        623000000       623999999       623500049.28   
624        624000001       624999999       624499454.38   
625        625000000       625999999       625499883.39   
626        626000001       626999998       626499941.57   
627        627000000       627999999       627499756.70   
628        628000000       628999999       628500005.94   
629        629000001       629999999       629499616.76   
630        630000000       630999999       630499805.55   
631        631000000       631999999       631500479.07   
632        632000000       632999998       632500147.05   
633        633000001       633999997       633499904.13   
634        634000000       634999999       634500223.61   
635        635000000       635999999       635499652.34   
636        636000002       636999999       636500072.39   
637        637000002       637999999       637499921.62   
638        638000000       638999998       638499833.67   
639        639000000       639999999       639500072.81   
640        640000003       640999999       640500372.88   
641        641000000       641999999       641499640.36   
642        642000000       642999999       642500151.99   
643        643000000       643999999       643499547.26   
644        644000000       644999998       644500064.34   
645        645000004       645999999       645499498.25   
646        646000001       646999998       646500140.38   
647        647000001       647999998       647500079.43   
648        648000000       648999999       648500360.82   
649        649000000       649999999       649500390.73   
650        650000000       650999999       650500139.88   
651        651000003       651999999       651500059.02   
652        652000000       652999999       652500020.93   
653        653000000       653999999       653499358.08   
654        654000000       654999998       654500114.21   
655        655000001       655999999       655499819.39   
656        656000000       656999998       656499866.38   
657        657000003       657999999       657499710.60   
658        658000002       658999998       658500048.64   
659        659000001       659999998       659499940.67   
660        660000000       660999999       660500017.72   
661        661000000       661999998       661500017.97   
662        662000001       662999999       662499865.18   
663        663000000       663999999       663500176.35   
664        664000000       664999999       664500063.22   
665        665000001       665999999       665500033.42   
666        666000000       666999999       666500409.49   
667        667000001       667999999       667500301.55   
668        668000000       668999997       668499636.38   
669        669000002       669999999       669499829.87   
670        670000001       670999997       670500032.75   
671        671000000       671999999       671499715.81   
672        672000001       672999999       672499465.97   
673        673000000       673999999       673499933.93   
674        674000000       674999998       674500255.32   
675        675000002       675999999       675499859.25   
676        676000000       676999999       676499822.37   
677        677000002       677999999       677500205.30   
678        678000000       678999997       678500027.52   
679        679000000       679999999       679499849.54   
680        680000003       680999999       680500140.99   
681        681000000       681999999       681500262.16   
682        682000000       682999996       682500574.93   
683        683000002       683999999       683500428.17   
684        684000000       684999998       684500253.98   
685        685000001       685999998       685499671.46   
686        686000002       686999999       686500141.53   
687        687000000       687999999       687500106.39   
688        688000000       688999999       688500416.65   
689        689000002       689999998       689499785.89   
690        690000000       690999999       690499712.58   
691        691000000       691999999       691499946.07   
692        692000002       692999999       692499989.12   
693        693000000       693999998       693499835.88   
694        694000000       694999999       694500473.22   
695        695000000       695999998       695500142.34   
696        696000000       696999999       696499865.19   
697        697000000       697999999       697500173.49   
698        698000000       698999999       698499730.57   
699        699000000       699999997       699499624.55   
700        700000003       700999999       700499972.01   
701        701000000       701999999       701499767.12   
702        702000000       702999998       702500085.95   
703        703000003       703999999       703500019.22   
704        704000000       704999999       704500030.10   
705        705000000       705999999       705500441.27   
706        706000000       706999999       706500499.73   
707        707000000       707999999       707500345.35   
708        708000001       708999999       708500098.45   
709        709000000       709999999       709499734.84   
710        710000001       710999998       710499814.51   
711        711000008       711999999       711500275.76   
712        712000000       712999999       712500237.03   
713        713000000       713999996       713499696.19   
714        714000000       714999999       714499903.97   
715        715000005       715999999       715499935.14   
716        716000000       716999999       716499654.24   
717        717000004       717999999       717499560.34   
718        718000003       718999999       718500294.51   
719        719000000       719999999       719499609.84   
720        720000000       720999998       720499975.62   
721        721000000       721999999       721499910.79   
722        722000000       722999998       722499877.86   
723        723000000       723999998       723500254.03   
724        724000000       724999998       724500034.16   
725        725000001       725999998       725500014.93   
726        726000002       726999999       726500405.14   
727        727000002       727999998       727499669.23   
728        728000001       728999998       728500737.48   
729        729000000       729999999       729500069.58   
730        730000001       730999999       730500016.73   
731        731000001       731999998       731500351.81   
732        732000001       732999999       732499995.91   
733        733000000       733999999       733500273.94   
734        734000000       734999998       734499913.91   
735        735000001       735999998       735500135.20   
736        736000000       736999998       736499926.05   
737        737000000       737999999       737500618.77   
738        738000000       738999999       738499653.28   
739        739000000       739999999       739500308.42   
740        740000000       740999998       740499951.60   
741        741000000       741999995       741500057.49   
742        742000000       742999999       742499453.73   
743        743000000       743999999       743499907.82   
744        744000000       744999998       744499775.12   
745        745000003       745999998       745499947.07   
746        746000000       746999998       746500102.39   
747        747000000       747999999       747500068.19   
748        748000000       748999999       748500197.46   
749        749000002       749999998       749500400.71   
750        750000000       750999998       750499761.72   
751        751000000       751999999       751499927.40   
752        752000000       752999999       752500185.81   
753        753000000       753999999       753500230.56   
754        754000001       754999998       754499998.08   
755        755000001       755999999       755499938.07   
756        756000000       756999999       756500372.20   
757        757000003       757999999       757500099.38   
758        758000000       758999998       758500025.50   
759        759000005       759999999       759499924.42   
760        760000000       760999999       760499952.52   
761        761000000       761999999       761500419.90   
762        762000001       762999998       762500293.50   
763        763000000       763999999       763500303.90   
764        764000000       764999999       764499992.87   
765        765000000       765999997       765500408.25   
766        766000000       766999999       766500484.07   
767        767000001       767999999       767500323.05   
768        768000001       768999999       768500006.12   
769        769000000       769999998       769500019.57   
770        770000000       770999998       770500043.68   
771        771000001       771999997       771499939.63   
772        772000000       772999999       772500229.71   
773        773000001       773999998       773499968.87   
774        774000000       774999999       774499788.91   
775        775000000       775999998       775499806.10   
776        776000001       776999999       776499886.24   
777        777000003       777999999       777499957.34   
778        778000001       778999999       778499854.30   
779        779000000       779999999       779499963.43   
780        780000000       780999999       780500219.58   
781        781000000       781999999       781499573.55   
782        782000000       782999999       782499835.61   
783        783000000       783999998       783499734.96   
784        784000000       784999996       784500216.95   
785        785000000       785999998       785500245.12   
786        786000000       786999994       786500075.18   
787        787000000       787999998       787499802.26   
788        788000001       788999997       788500201.22   
789        789000003       789999997       789500317.44   
790        790000000       790999998       790500004.51   
791        791000000       791999999       791499928.50   
792        792000000       792999998       792499979.81   
793        793000001       793999999       793500787.94   
794        794000000       794999999       794500263.81   
795        795000001       795999998       795500131.04   
796        796000000       796999996       796499711.24   
797        797000000       797999998       797500215.27   
798        798000000       798999999       798499541.97   
799        799000000       799999999       799499607.46   
800        800000002       800999999       800499882.38   
801        801000000       801999997       801499361.36   
802        802000000       802999999       802500237.81   
803        803000000       803999999       803500284.83   
804        804000001       804999996       804500491.00   
805        805000000       805999999       805499469.92   
806        806000002       806999998       806500225.13   
807        807000000       807999999       807499757.39   
808        808000001       808999998       808499615.38   
809        809000000       809999999       809500196.36   
810        810000000       810999999       810499376.36   
811        811000001       811999999       811499760.57   
